user_id,day_in_cycle,symptom,probability
03009100-a1fa-4fad-bf9b-6102c690f3be,1,happy,0.030349325388669968
03009100-a1fa-4fad-bf9b-6102c690f3be,1,pms,0.01079043373465538
03009100-a1fa-4fad-bf9b-6102c690f3be,1,sad,0.013225311413407326
03009100-a1fa-4fad-bf9b-6102c690f3be,1,sensitive_emotion,0.026531115174293518
03009100-a1fa-4fad-bf9b-6102c690f3be,1,energized,0.00605530571192503
03009100-a1fa-4fad-bf9b-6102c690f3be,1,exhausted,0.012556775473058224
03009100-a1fa-4fad-bf9b-6102c690f3be,1,high_energy,0.01997275836765766
03009100-a1fa-4fad-bf9b-6102c690f3be,1,low_energy,0.026836711913347244
03009100-a1fa-4fad-bf9b-6102c690f3be,1,cramps,0.042609311640262604
03009100-a1fa-4fad-bf9b-6102c690f3be,1,headache,0.025186602026224136
03009100-a1fa-4fad-bf9b-6102c690f3be,1,ovulation_pain,0.009409962221980095
03009100-a1fa-4fad-bf9b-6102c690f3be,1,tender_breasts,0.02508935146033764
03009100-a1fa-4fad-bf9b-6102c690f3be,1,acne_skin,0.013643065467476845
03009100-a1fa-4fad-bf9b-6102c690f3be,1,good_skin,0.00955905206501484
03009100-a1fa-4fad-bf9b-6102c690f3be,1,oily_skin,0.0058080172166228294
03009100-a1fa-4fad-bf9b-6102c690f3be,1,dry_skin,0.003738528350368142
03009100-a1fa-4fad-bf9b-6102c690f3be,2,happy,0.030664321035146713
03009100-a1fa-4fad-bf9b-6102c690f3be,2,pms,0.010893281549215317
03009100-a1fa-4fad-bf9b-6102c690f3be,2,sad,0.01336351316422224
03009100-a1fa-4fad-bf9b-6102c690f3be,2,sensitive_emotion,0.026865828782320023
03009100-a1fa-4fad-bf9b-6102c690f3be,2,energized,0.006081371568143368
03009100-a1fa-4fad-bf9b-6102c690f3be,2,exhausted,0.012700806371867657
03009100-a1fa-4fad-bf9b-6102c690f3be,2,high_energy,0.020215868949890137
03009100-a1fa-4fad-bf9b-6102c690f3be,2,low_energy,0.02705862931907177
03009100-a1fa-4fad-bf9b-6102c690f3be,2,cramps,0.043027572333812714
03009100-a1fa-4fad-bf9b-6102c690f3be,2,headache,0.02536231465637684
03009100-a1fa-4fad-bf9b-6102c690f3be,2,ovulation_pain,0.009482291527092457
03009100-a1fa-4fad-bf9b-6102c690f3be,2,tender_breasts,0.025326838716864586
03009100-a1fa-4fad-bf9b-6102c690f3be,2,acne_skin,0.013797498308122158
03009100-a1fa-4fad-bf9b-6102c690f3be,2,good_skin,0.009645137004554272
03009100-a1fa-4fad-bf9b-6102c690f3be,2,oily_skin,0.005873028188943863
03009100-a1fa-4fad-bf9b-6102c690f3be,2,dry_skin,0.0037851266097277403
03009100-a1fa-4fad-bf9b-6102c690f3be,3,happy,0.030714228749275208
03009100-a1fa-4fad-bf9b-6102c690f3be,3,pms,0.010907161980867386
03009100-a1fa-4fad-bf9b-6102c690f3be,3,sad,0.013387210667133331
03009100-a1fa-4fad-bf9b-6102c690f3be,3,sensitive_emotion,0.026923533529043198
03009100-a1fa-4fad-bf9b-6102c690f3be,3,energized,0.006105760112404823
03009100-a1fa-4fad-bf9b-6102c690f3be,3,exhausted,0.01272286381572485
03009100-a1fa-4fad-bf9b-6102c690f3be,3,high_energy,0.020235246047377586
03009100-a1fa-4fad-bf9b-6102c690f3be,3,low_energy,0.02710799127817154
03009100-a1fa-4fad-bf9b-6102c690f3be,3,cramps,0.04308369383215904
03009100-a1fa-4fad-bf9b-6102c690f3be,3,headache,0.025418294593691826
03009100-a1fa-4fad-bf9b-6102c690f3be,3,ovulation_pain,0.00949960295110941
03009100-a1fa-4fad-bf9b-6102c690f3be,3,tender_breasts,0.025370068848133087
03009100-a1fa-4fad-bf9b-6102c690f3be,3,acne_skin,0.013822137378156185
03009100-a1fa-4fad-bf9b-6102c690f3be,3,good_skin,0.00965951383113861
03009100-a1fa-4fad-bf9b-6102c690f3be,3,oily_skin,0.005886392667889595
03009100-a1fa-4fad-bf9b-6102c690f3be,3,dry_skin,0.0037959988694638014
03009100-a1fa-4fad-bf9b-6102c690f3be,4,happy,0.030711842700839043
03009100-a1fa-4fad-bf9b-6102c690f3be,4,pms,0.010905351489782333
03009100-a1fa-4fad-bf9b-6102c690f3be,4,sad,0.013383823446929455
03009100-a1fa-4fad-bf9b-6102c690f3be,4,sensitive_emotion,0.026913166046142578
03009100-a1fa-4fad-bf9b-6102c690f3be,4,energized,0.006104892119765282
03009100-a1fa-4fad-bf9b-6102c690f3be,4,exhausted,0.012719869613647461
03009100-a1fa-4fad-bf9b-6102c690f3be,4,high_energy,0.020227942615747452
03009100-a1fa-4fad-bf9b-6102c690f3be,4,low_energy,0.027102412655949593
03009100-a1fa-4fad-bf9b-6102c690f3be,4,cramps,0.043074171990156174
03009100-a1fa-4fad-bf9b-6102c690f3be,4,headache,0.02541537582874298
03009100-a1fa-4fad-bf9b-6102c690f3be,4,ovulation_pain,0.009498239494860172
03009100-a1fa-4fad-bf9b-6102c690f3be,4,tender_breasts,0.025363385677337646
